DIAMOND RAIN (GB) (Rank: 57 | Flat Rating: 114 | Year: 2021 | Sex: FILLY | Sire: SHAMARDAL (USA) | Dam: DANCING RAIN (IRE) | Trainer: Charlie Appleby)
EYDON (IRE) (Rank: 58 | Flat Rating: 114 | Year: 2019 | Sex: COLT | Sire: OLDEN TIMES (GB) | Dam: MOON MOUNTAIN (GB) | Trainer: Andrew Balding)
INISHERIN (GB) (Rank: 59 | Flat Rating: 114 | Year: 2021 | Sex: COLT | Sire: SHAMARDAL (USA) | Dam: AJMAN PRINCESS (IRE) | Trainer: )
KIND OF BLUE (GB) (Rank: 60 | Flat Rating: 114 | Year: 2021 | Sex: COLT | Sire: BLUE POINT (IRE) | Dam: BLUES SISTER (GB) | Trainer: James Fanshawe)
LAZY GRIFF (GER) (Rank: 61 | Flat Rating: 114 | Year: 2022 | Sex: COLT | Sire: PROTECTIONIST (GER) | Dam: LINARDA (DEN) | Trainer: Charlie Johnston)
MILITARY ORDER (IRE) (Rank: 62 | Flat Rating: 114 | Year: 2020 | Sex: GELDING | Sire: FRANKEL (GB) | Dam: ANNA SALAI (USA) | Trainer: )
QIRAT (GB) (Rank: 63 | Flat Rating: 114 | Year: 2021 | Sex: GELDING | Sire: SHOWCASING (GB) | Dam: EMULOUS (GB) | Trainer: Ralph Beckett)
ROYAL DUBAI (FR) (Rank: 64 | Flat Rating: 114 | Year: 2020 | Sex: COLT | Sire: SEAHENGE (USA) | Dam: SAND ROSE (FR) | Trainer: Owen Burrows)
SHADER (GB) (Rank: 65 | Flat Rating: 114 | Year: 2021 | Sex: GELDING | Sire: SHAMARDAL (USA) | Dam: SHUTTER SPEED (GB) | Trainer: John & Thady Gosden)
SILVER KNOTT (GB) (Rank: 66 | Flat Rating: 114 | Year: 2020 | Sex: GELDING | Sire: LOPE DE VEGA (IRE) | Dam: GOD GIVEN (GB) | Trainer: )
VENETIAN SUN (IRE) (Rank: 67 | Flat Rating: 114 | Year: 2023 | Sex: FILLY | Sire: STARMAN (GB) | Dam: JOHARA (IRE) | Trainer: K. R. Burke)
AMERICAN AFFAIR (GB) (Rank: 68 | Flat Rating: 113 | Year: 2020 | Sex: GELDING | Sire: WASHINGTON DC (IRE) | Dam: CLASSY ANNE (GB) | Trainer: Jim Goldie)
CAIRO (IRE) (Rank: 69 | Flat Rating: 113 | Year: 2020 | Sex: COLT | Sire: QUALITY ROAD (USA) | Dam: CUFF (IRE) | Trainer: )
CATHEDRAL (GB) (Rank: 70 | Flat Rating: 113 | Year: 2022 | Sex: FILLY | Sire: TOO DARN HOT (GB) | Dam: WAR AND PEACE (GB) | Trainer: Kevin Philippart de Foy)
CONSENT (IRE) (Rank: 71 | Flat Rating: 113 | Year: 2022 | Sex: FILLY | Sire: LOPE DE VEGA (IRE) | Dam: FLORA DANICA (IRE) | Trainer: Sir Mark Prescott Bt)
DAMYSUS (GB) (Rank: 72 | Flat Rating: 113 | Year: 2022 | Sex: COLT | Sire: FRANKEL (GB) | Dam: LEGERETE (USA) | Trainer: John & Thady Gosden)
DUBAI FUTURE (GB) (Rank: 73 | Flat Rating: 113 | Year: 2016 | Sex: GELDING | Sire: DUBAWI (IRE) | Dam: ANJAZ (USA) | Trainer: )
KHAADEM (IRE) (Rank: 74 | Flat Rating: 113 | Year: 2016 | Sex: GELDING | Sire: DARK ANGEL (IRE) | Dam: WHITE DAFFODIL (IRE) | Trainer: Charles Hills)
LIBERTY LANE (IRE) (Rank: 75 | Flat Rating: 113 | Year: 2020 | Sex: GELDING | Sire: TEOFILO (IRE) | Dam: CAPE LIBERTY (IRE) | Trainer: K. R. Burke)
LIFEPLAN (IRE) (Rank: 76 | Flat Rating: 113 | Year: 2023 | Sex: COLT | Sire: KODI BEAR (IRE) | Dam: A TAAD MOODY (IRE) | Trainer: Declan Carroll)
PALLADIUM (GER) (Rank: 77 | Flat Rating: 113 | Year: 2021 | Sex: GELDING | Sire: GLENEAGLES (IRE) | Dam: PATH WIND (FR) | Trainer: )
POET MASTER (IRE) (Rank: 78 | Flat Rating: 113 | Year: 2020 | Sex: GELDING | Sire: LOPE DE VEGA (IRE) | Dam: MADELINE (IRE) | Trainer: K. R. Burke)
