Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Barry Connell (Runs: 96 | 1st: 11 | 2nd: 16 | 3rd: 16 | 4th: 9 | Win Money: 282000 | Place Money: 144250 | Total Prize Money: 426250)
Andrew Slattery (Runs: 89 | 1st: 11 | 2nd: 17 | 3rd: 8 | 4th: 7 | Win Money: 85200 | Place Money: 110245 | Total Prize Money: 195445)
Dermot Anthony McLoughlin (Runs: 217 | 1st: 11 | 2nd: 16 | 3rd: 10 | 4th: 15 | Win Money: 95100 | Place Money: 76040 | Total Prize Money: 171140)
Padraig Roche (Runs: 95 | 1st: 11 | 2nd: 4 | 3rd: 8 | 4th: 9 | Win Money: 90600 | Place Money: 53215 | Total Prize Money: 143815)
John Joseph Hanlon (Runs: 270 | 1st: 10 | 2nd: 17 | 3rd: 19 | 4th: 22 | Win Money: 74700 | Place Money: 117815 | Total Prize Money: 192515)
Peter Fahey (Runs: 170 | 1st: 10 | 2nd: 6 | 3rd: 7 | 4th: 15 | Win Money: 123000 | Place Money: 64855 | Total Prize Money: 187855)
Terence O'Brien (Runs: 128 | 1st: 10 | 2nd: 10 | 3rd: 9 | 4th: 13 | Win Money: 70800 | Place Money: 58140 | Total Prize Money: 128940)
Eoin Doyle (Runs: 115 | 1st: 10 | 2nd: 8 | 3rd: 4 | 4th: 13 | Win Money: 78000 | Place Money: 35115 | Total Prize Money: 113115)
T.M. Walsh (Runs: 52 | 1st: 8 | 2nd: 5 | 3rd: 5 | 4th: 7 | Win Money: 62400 | Place Money: 154700 | Total Prize Money: 217100)
Ian Patrick Donoghue (Runs: 122 | 1st: 8 | 2nd: 9 | 3rd: 8 | 4th: 14 | Win Money: 77400 | Place Money: 96380 | Total Prize Money: 173780)
Thomas Mullins (Runs: 101 | 1st: 8 | 2nd: 4 | 3rd: 13 | 4th: 8 | Win Money: 61500 | Place Money: 71470 | Total Prize Money: 132970)
Patrick T. Foley (Runs: 85 | 1st: 8 | 2nd: 7 | 3rd: 3 | 4th: 12 | Win Money: 69300 | Place Money: 50880 | Total Prize Money: 120180)
David Harry Kelly (Runs: 98 | 1st: 8 | 2nd: 2 | 3rd: 11 | 4th: 5 | Win Money: 60900 | Place Money: 25475 | Total Prize Money: 86375)
S.R.B. Crawford (Runs: 134 | 1st: 7 | 2nd: 17 | 3rd: 17 | 4th: 14 | Win Money: 67200 | Place Money: 120450 | Total Prize Money: 187650)
M.F.Morris (Runs: 92 | 1st: 7 | 2nd: 11 | 3rd: 9 | 4th: 9 | Win Money: 66300 | Place Money: 90660 | Total Prize Money: 156960)
Mrs John Harrington (Runs: 67 | 1st: 7 | 2nd: 3 | 3rd: 11 | 4th: 2 | Win Money: 92400 | Place Money: 60860 | Total Prize Money: 153260)
Paul W. Flynn (Runs: 100 | 1st: 7 | 2nd: 8 | 3rd: 7 | 4th: 8 | Win Money: 79200 | Place Money: 45865 | Total Prize Money: 125065)
C.A.Murphy (Runs: 109 | 1st: 7 | 2nd: 6 | 3rd: 6 | 4th: 14 | Win Money: 52200 | Place Money: 64895 | Total Prize Money: 117095)
Mark Michael McNiff (Runs: 107 | 1st: 7 | 2nd: 5 | 3rd: 19 | 4th: 5 | Win Money: 48000 | Place Money: 44220 | Total Prize Money: 92220)
Eoin Christopher McCarthy (Runs: 149 | 1st: 7 | 2nd: 4 | 3rd: 14 | 4th: 8 | Win Money: 51900 | Place Money: 38735 | Total Prize Money: 90635)
